Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,VIX_Close,USDINR_Close
2025-05-16,25064.650390625,25070.0,24953.05078125,25019.80078125,432700.0,16.549999237060547,85.44490051269531
2025-05-19,25005.349609375,25062.94921875,24916.650390625,24945.44921875,255300.0,17.360000610351562,85.50029754638672
2025-05-20,24996.19921875,25010.349609375,24669.69921875,24683.900390625,414800.0,17.389999389648438,85.37210083007812
2025-05-21,24744.25,24946.19921875,24685.349609375,24813.44921875,332700.0,17.549999237060547,85.53610229492188
2025-05-22,24733.94921875,24737.5,24462.400390625,24609.69921875,403300.0,17.260000228881836,85.60030364990234
2025-05-23,24639.5,24909.05078125,24614.05078125,24853.150390625,270500.0,17.280000686645508,85.97489929199219
2025-05-26,24919.349609375,25079.19921875,24900.5,25001.150390625,302800.0,18.020000457763672,85.19930267333984
2025-05-27,24956.650390625,25062.900390625,24704.099609375,24826.19921875,525700.0,18.540000915527344,85.158203125
2025-05-28,24832.5,24864.25,24737.05078125,24752.44921875,684400.0,18.020000457763672,85.3604965209961
2025-05-29,24825.099609375,24892.599609375,24677.30078125,24833.599609375,345400.0,16.420000076293945,85.38590240478516
2025-05-30,24812.599609375,24863.94921875,24717.400390625,24750.69921875,853900.0,16.079999923706055,85.36129760742188
2025-06-02,24669.69921875,24754.400390625,24526.150390625,24716.599609375,311100.0,17.15999984741211,85.52429962158203
2025-06-03,24786.30078125,24845.099609375,24502.150390625,24542.5,349300.0,16.559999465942383,85.36370086669922
2025-06-04,24560.44921875,24644.25,24530.44921875,24620.19921875,280900.0,15.75,85.70880126953125
2025-06-05,24691.19921875,24899.849609375,24613.099609375,24750.900390625,388400.0,15.079999923706055,85.9041976928711
2025-06-06,24748.69921875,25029.5,24671.44921875,25003.05078125,335600.0,14.630000114440918,85.87750244140625
2025-06-09,25160.099609375,25160.099609375,25077.150390625,25103.19921875,279200.0,14.6899995803833,85.7853012084961
2025-06-10,25196.05078125,25199.30078125,25055.44921875,25104.25,307300.0,14.020000457763672,85.75599670410156
2025-06-11,25134.150390625,25222.400390625,25081.30078125,25141.400390625,301200.0,13.670000076293945,85.65280151367188
2025-06-12,25164.44921875,25196.19921875,24825.900390625,24888.19921875,328300.0,14.020000457763672,85.46980285644531
2025-06-13,24473.0,24754.349609375,24473.0,24718.599609375,318700.0,15.079999923706055,85.68840026855469
2025-06-16,24732.349609375,24967.099609375,24703.599609375,24946.5,305800.0,14.84000015258789,86.24919891357422
2025-06-17,24977.849609375,24982.05078125,24813.69921875,24853.400390625,242400.0,14.399999618530273,86.10420227050781
2025-06-18,24788.349609375,24947.55078125,24750.44921875,24812.05078125,237600.0,14.279999732971191,86.36270141601562
2025-06-19,24803.25,24863.099609375,24733.400390625,24793.25,274600.0,14.260000228881836,86.61360168457031
2025-06-20,24787.650390625,25136.19921875,24783.650390625,25112.400390625,574700.0,13.670000076293945,86.58380126953125
2025-06-23,24939.75,25057.0,24824.849609375,24971.900390625,248500.0,14.050000190734863,86.5802993774414
